"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Haushaltsgrösse - Total","1 Person","2 Personen","3 Personen","4 Personen","5 Personen","6 oder mehr Personen"
"2023","......0706 Saicourt",604,82,176,93,136,80,37
"2023","......0707 Saules (BE)",145,17,54,21,16,25,12
"2023","......0708 Schelten",35,5,10,6,4,10,0
"2023","......0709 Seehof",65,7,10,15,16,5,12
"2023","......0711 Sorvilier",280,52,76,48,92,0,12
"2023","......0713 Tavannes",3409,702,938,609,680,375,105
"2023","......0715 Rebévelier",34,6,8,0,4,10,6
"2023","......0716 Petit-Val",396,60,104,69,80,45,38
"2023","......0717 Valbirse",3903,705,1244,717,824,335,78
"2023","......0723 La Neuveville",3794,746,1148,759,732,350,59
"2023","......0724 Nods",779,100,212,156,176,85,50
"2023","......0726 Plateau de Diesse",2126,380,622,375,476,175,98
"2023",">> Verwaltungskreis Biel/Bienne",103393,21236,30966,17121,20652,8845,4573
"2023","......0371 Biel/Bienne",54892,13280,15420,9165,10008,4495,2524
"2023","......0372 Evilard",2654,317,756,480,656,310,135
"2023","......0387 Lengnau (BE)",5608,924,1860,834,1112,605,273
"2023","......0390 Meinisberg",1420,172,438,219,392,160,39
"2023","......0392 Pieterlen",5128,725,1510,783,1140,600,370
"2023","......0731 Aegerten",2353,411,784,366,472,215,105
"2023","......0732 Bellmund",1774,174,556,336,508,145,55
"2023","......0733 Brügg",4487,891,1306,819,916,390,165
"2023","......0739 Ipsach",3830,627,1392,651,848,250,62
"2023","......0740 Ligerz",517,100,188,87,100,30,12
"2023","......0742 Mörigen",883,102,364,156,172,70,19
"2023","......0743 Nidau",6942,1644,2052,1041,1308,635,262
"2023","......0744 Orpund",3275,492,1022,645,688,245,183
"2023","......0745 Port",3852,571,1320,609,968,245,139
"2023","......0746 Safnern",1995,259,694,315,528,155,44
"2023","......0747 Scheuren",540,63,156,99,136,55,31
"2023","......0748 Schwadernau",678,84,232,105,140,70,47
"2023","......0750 Sutz-Lattrigen",1394,178,464,243,328,85,96
"2023","......0756 Twann-Tüscherz",1171,222,452,168,232,85,12
"2023",">> Verwaltungskreis Seeland",77084,11601,26034,12615,17760,6650,2424
"2023","......0301 Aarberg",4556,828,1502,783,1016,340,87
"2023","......0302 Bargen (BE)",1056,115,294,183,304,135,25
"2023","......0303 Grossaffoltern",3033,403,1114,465,692,235,124
"2023","......0304 Kallnach",2206,280,734,396,540,165,91
"2023","......0305 Kappelen",1391,201,454,294,308,110,24
"2023","......0306 Lyss",16202,2691,5320,2712,3712,1345,422
"2023","......0309 Radelfingen",1272,185,486,192,224,155,30
"2023","......0310 Rapperswil (BE)",2689,329,886,456,596,315,107
"2023","......0311 Schüpfen",3712,587,1274,519,868,355,109
"2023","......0312 Seedorf (BE)",3128,476,1152,486,708,260,46
"2023","......0381 Arch",1697,280,596,291,360,115,55
"2023","......0382 Büetigen",926,89,298,162,232,90,55
"2023","......0383 Büren an der Aare",3648,652,1114,630,828,320,104
"2023","......0385 Diessbach bei Büren",1036,112,322,162,272,105,63
"2023","......0386 Dotzigen",1566,183,524,243,416,150,50
"2023","......0388 Leuzigen",1346,221,418,204,284,170,49
"2023","......0389 Meienried",57,4,20,12,16,5,0
"2023","......0391 Oberwil bei Büren",904,125,310,135,204,80,50
"2023","......0393 Rüti bei Büren",870,137,292,135,180,75,51
"2023","......0394 Wengi",627,90,228,87,140,45,37
"2023","......0491 Brüttelen",604,79,254,96,128,35,12
"2023","......0492 Erlach",1357,225,482,198,324,110,18
"2023","......0493 Finsterhennen",557,68,162,90,156,60,21
"2023","......0494 Gals",824,136,262,129,220,45,32
"2023","......0495 Gampelen",986,127,354,180,176,85,64
"2023","......0496 Ins",3661,517,1150,618,916,315,145
"2023","......0497 Lüscherz",571,120,250,72,92,25,12
"2023","......0498 Müntschemier",1589,177,506,240,420,180,66
"2023","......0499 Siselen",612,87,216,105,148,50,6
"2023","......0500 Treiten",423,60,168,60,96,20,19
"2023","......0501 Tschugg",467,94,142,87,104,40,0
"2023","......0502 Vinelz",898,146,350,141,180,75,6
"2023","......0734 Bühl",486,70,192,93,104,20,7
"2023","......0735 Epsach",333,27,126,63,80,25,12
"2023","......0736 Hagneck",416,39,160,54,128,35,0
"2023","......0737 Hermrigen",316,43,102,42,72,45,12
"2023","......0738 Jens",661,63,256,120,128,70,24
"2023","......0741 Merzligen",399,53,160,81,52,40,13
"2023","......0749 Studen (BE)",3476,499,1042,564,836,360,175
"2023","......0751 Täuffelen",3002,460,1134,480,656,195,77
"2023","......0754 Walperswil",1027,115,388,147,256,80,41
"2023","......0755 Worben",2497,408,840,408,588,170,83
"2023",">> Verwaltungskreis Oberaargau",83300,13898,27132,12843,17572,8065,3790
"2023","......0321 Aarwangen",4689,703,1566,759,1004,440,217
"2023","......0322 Auswil",453,70,156,54,120,35,18
"2023","......0323 Bannwil",665,101,248,111,108,65,32
"2023","......0324 Bleienbach",754,98,268,105,184,75,24
"2023","......0325 Busswil bei Melchnau",171,35,66,27,28,15,0
"2023","......0326 Gondiswil",709,108,224,96,200,60,21
"2023","......0329 Langenthal",15813,3125,4854,2325,3332,1415,762
"2023","......0331 Lotzwil",2637,419,774,417,596,265,166
"2023","......0332 Madiswil",3311,538,1082,471,776,330,114
"2023","......0333 Melchnau",1509,240,494,222,296,195,62
"2023","......0335 Oeschenbach",218,37,90,27,48,10,6
"2023","......0336 Reisiswil",173,32,60,18,36,15,12
"2023","......0337 Roggwil (BE)",4248,643,1316,699,932,500,158
"2023","......0338 Rohrbach",1539,243,540,252,304,130,70
